,anonimized_id,company_id,year,region,headquarters_country,industry,market_cap,employees,revenue,scope_1,scope_2,scope_3,waste_production,waste_recycling,water_consumption,water_withdrawal,energy_consumption,hours_of_training,gender_pay_gap,independent_board_members_percentage,legal_costs_paid_for_controversies,ceo_compensation
13,dd30cf33-74f4-4e0c-97f7-616923b123f0_2019,dd30cf33-74f4-4e0c-97f7-616923b123f0,2019,United States and Canada,United States,Integrated Oil and Gas,421056.29,74900.0,225050.2,111000000.0,120000000.0,730000000.0,,,290000000.0,460000000.0,2057200000.0,,,0.9,,
14,dd30cf33-74f4-4e0c-97f7-616923b123f0_2018,dd30cf33-74f4-4e0c-97f7-616923b123f0,2018,United States and Canada,United States,Integrated Oil and Gas,421056.29,71000.0,247276.59,116000000.0,124000000.0,,,,310000000.0,460000000.0,2057200000.0,,,0.9,,18777787.0
15,116a59e2-5659-4f61-a47f-18a17195871d_2020,116a59e2-5659-4f61-a47f-18a17195871d,2020,United States and Canada,United States,Semiconductors,300571.64,13775.0,9605.66,2817.0,74692.0,415913.0,5290.0,4100.0,72378.0,315599.0,244760.0,,,,0.0,
16,116a59e2-5659-4f61-a47f-18a17195871d_2019,116a59e2-5659-4f61-a47f-18a17195871d,2019,United States and Canada,United States,Semiconductors,300571.64,13277.0,10307.74,2675.0,65107.0,427730.0,18344.0,16554.0,96196.0,319713.0,197074.0,,,0.0090908999999999,,13642838.0
17,116a59e2-5659-4f61-a47f-18a17195871d_2018,116a59e2-5659-4f61-a47f-18a17195871d,2018,United States and Canada,United States,Semiconductors,300571.64,11528.0,8546.38,2370.0,50863.0,326648.0,2670.0,1973.0,61169.0,265030.0,151164.0,,,0.0090908999999999,,12993532.0
18,0a75eb41-860e-444e-a585-841a636486e1_2020,0a75eb41-860e-444e-a585-841a636486e1,2020,United States and Canada,United States,Diversified Banks,311722.61,255351.0,89795.03,69570.0,660601.0,36169.0,,,5035089.0,5465232.33,1942728.0,7.0,24.2,,980.98,
19,0a75eb41-860e-444e-a585-841a636486e1_2019,0a75eb41-860e-444e-a585-841a636486e1,2019,United States and Canada,United States,Diversified Banks,311722.61,256981.0,96613.48,,,181004.0,,,,,2082277.0,10.0,25.3,0.90909,,31612616.0
20,0a75eb41-860e-444e-a585-841a636486e1_2018,0a75eb41-860e-444e-a585-841a636486e1,2018,United States and Canada,United States,Diversified Banks,311722.61,,91273.97,83101.0,739458.0,,,,5731976.0,,2127812.0,9.0,25.7,0.91667,63.35,30034044.0
21,8143f21f-4b55-4ac9-ae21-eb026b5f0bad_2020,8143f21f-4b55-4ac9-ae21-eb026b5f0bad,2020,Asia / Pacific,China,Distillers and Vintners,330615.54,,13239.54,364033.0,201166.0,1688901.0,,,14598376.41,,,,,0.42857,60.82,
22,8143f21f-4b55-4ac9-ae21-eb026b5f0bad_2019,8143f21f-4b55-4ac9-ae21-eb026b5f0bad,2019,Asia / Pacific,China,Distillers and Vintners,330615.54,27005.0,,,,,,,,,,,,0.57143,36.05,
23,8143f21f-4b55-4ac9-ae21-eb026b5f0bad_2018,8143f21f-4b55-4ac9-ae21-eb026b5f0bad,2018,Asia / Pacific,China,Distillers and Vintners,330615.54,26568.0,10271.85,,,,,,,,,,,0.57143,71.64,
24,1400c037-3aac-4f4a-8c4a-ea60eae061a1_2020,1400c037-3aac-4f4a-8c4a-ea60eae061a1,2020,United States and Canada,United States,Data Processing and Outsourced Services,285051.95,21000.0,,3221.0,52538.0,366143.0,518.8015,380.3285,120504.0,1190465.34,107320.0,,1.0,1.0,,27774448.0
25,1400c037-3aac-4f4a-8c4a-ea60eae061a1_2019,1400c037-3aac-4f4a-8c4a-ea60eae061a1,2019,United States and Canada,United States,Data Processing and Outsourced Services,285051.95,18600.0,14853.66,4758.0,52141.0,503012.0,1555.889,1235.32,130253.0,,109718.0,,1.0,0.93333,,23249977.0
26,1400c037-3aac-4f4a-8c4a-ea60eae061a1_2018,1400c037-3aac-4f4a-8c4a-ea60eae061a1,2018,United States and Canada,United States,Data Processing and Outsourced Services,285051.95,14800.0,13153.01,4828.0,52859.0,495962.0,,883.0005,128549.0,,,,0.996,0.93333,992.41,20379353.0
27,64f46ddd-0d99-41a9-8248-23d0ff552bc5_2020,64f46ddd-0d99-41a9-8248-23d0ff552bc5,2020,Europe,Switzerland,Packaged Foods and Meats,294990.9,273000.0,80964.09,3300000.0,1900000.0,114000000.0,,0.0,,115000000.0,24166686.0,14.3,1.0,0.9286,173.05,10703954.0
28,64f46ddd-0d99-41a9-8248-23d0ff552bc5_2019,64f46ddd-0d99-41a9-8248-23d0ff552bc5,2019,Europe,Switzerland,Packaged Foods and Meats,294990.9,291000.0,88788.87,3300000.0,2300000.0,107411000.0,458000.0,,125600000.0,,,23.8,,0.9286,461.8,10714975.0
29,64f46ddd-0d99-41a9-8248-23d0ff552bc5_2018,64f46ddd-0d99-41a9-8248-23d0ff552bc5,2018,Europe,Switzerland,Packaged Foods and Meats,294990.9,308000.0,87722.81,3300000.0,2500000.0,,34400.0,,132463000.0,127000000.0,24472241.8,42.4,,0.9286,418.77,9795364.0
30,ae42b4e8-e3bd-483b-96d9-d007ff89163c_2020,ae42b4e8-e3bd-483b-96d9-d007ff89163c,2020,United States and Canada,United States,Home Improvement Retail,291065.9,415700.0,,607000.0,1393000.0,2665000.0,919574.0,,,72710050.08,6445071.0,,,,0.0,13995092.0
31,ae42b4e8-e3bd-483b-96d9-d007ff89163c_2019,ae42b4e8-e3bd-483b-96d9-d007ff89163c,2019,United States and Canada,United States,Home Improvement Retail,291065.9,413000.0,95197.0,554000.0,1649000.0,,851330.0,275986.0,,,6634705.0,6000000.0,,0.92857,,10889833.0
32,ae42b4e8-e3bd-483b-96d9-d007ff89163c_2018,ae42b4e8-e3bd-483b-96d9-d007ff89163c,2018,United States and Canada,United States,Home Improvement Retail,291065.9,,88775.34,516000.0,1681640.0,3791810.0,796228.0,292378.0,,,,7000000.0,,,,
33,2aa94e20-43f7-470a-81ea-b855e5aa761e_2020,2aa94e20-43f7-470a-81ea-b855e5aa761e,2020,United States and Canada,United States,Pharmaceuticals,310384.11,35000.0,21590.12,159000.0,551000.0,176000.0,130000.0,,6100000.0,6113000.0,1817116.061,,,0.9333,0.0,23708629.0
34,2aa94e20-43f7-470a-81ea-b855e5aa761e_2019,2aa94e20-43f7-470a-81ea-b855e5aa761e,2019,United States and Canada,United States,Pharmaceuticals,310384.11,33625.0,19636.7,,,,140000.0,109200.0,6270000.0,6265300.0,,,,0.9231,307.58,
35,2aa94e20-43f7-470a-81ea-b855e5aa761e_2018,2aa94e20-43f7-470a-81ea-b855e5aa761e,2018,United States and Canada,United States,Pharmaceuticals,310384.11,,18909.81,201000.0,631000.0,263000.0,120000.0,93600.0,6780000.0,13900000.0,,,0.9,0.9286,122.38,17230337.0
36,88f02a20-2ed2-4a44-a47f-95b65c8a4cd9_2020,88f02a20-2ed2-4a44-a47f-95b65c8a4cd9,2020,United States and Canada,United States,Diversified Banks,247083.6,213000.0,65288.2,,,3291400.0,76753.0,47637.0,6764610.0,6764610.0,2109930.0001687943,108535.0,,0.94118,0.0,
37,88f02a20-2ed2-4a44-a47f-95b65c8a4cd9_2019,88f02a20-2ed2-4a44-a47f-95b65c8a4cd9,2019,United States and Canada,United States,Diversified Banks,247083.6,208000.0,75295.04,62639.0,728771.0,4867840.0,103396.0,,7627270.0,7627270.0,,90575.0,,0.94118,,
38,88f02a20-2ed2-4a44-a47f-95b65c8a4cd9_2018,88f02a20-2ed2-4a44-a47f-95b65c8a4cd9,2018,United States and Canada,United States,Diversified Banks,247083.6,204000.0,77191.89,85145.0,791166.0,4819110.0,95082.0,,7735800.0,7735800.0,2309380.0001847507,93968.0,,0.9375,,
39,aa4a941c-b690-4f54-8c1c-09330c27970e_2020,aa4a941c-b690-4f54-8c1c-09330c27970e,2020,Europe,Switzerland,Pharmaceuticals,269217.68,101465.0,,256815.0,189003.0,,30390.0,,2800000.0,14900000.0,2338890.76,35.0,,0.9231,,
40,aa4a941c-b690-4f54-8c1c-09330c27970e_2019,aa4a941c-b690-4f54-8c1c-09330c27970e,2019,Europe,Switzerland,Pharmaceuticals,269217.68,97735.0,60952.77,,,201522.0,42282.0,,3100000.0,15900000.0,2495279.774,32.3,,0.9230769231,612.87,11516854.0
41,aa4a941c-b690-4f54-8c1c-09330c27970e_2018,aa4a941c-b690-4f54-8c1c-09330c27970e,2018,Europe,Switzerland,Pharmaceuticals,269217.68,94442.0,56885.49,289636.0,263973.0,195530.0,33189.0,,3400000.0,16600000.0,2551390.93,3683240.0,,,,11760535.0
42,406389d1-6d2b-48c0-b408-bdb6d82850d7_2020,406389d1-6d2b-48c0-b408-bdb6d82850d7,2020,United States and Canada,United States,Soft Drinks,235735.54,80300.0,29131.55,793.46,802.707,50420.199,,,,,2576920.000206154,,0.92,0.83333,52.94,
43,406389d1-6d2b-48c0-b408-bdb6d82850d7_2019,406389d1-6d2b-48c0-b408-bdb6d82850d7,2019,United States and Canada,United States,Soft Drinks,235735.54,86200.0,32883.52,687.597,868.343,54039.0,,,187131000.0,,2868810.000229505,,0.9906,0.84615,283.25,
44,406389d1-6d2b-48c0-b408-bdb6d82850d7_2018,406389d1-6d2b-48c0-b408-bdb6d82850d7,2018,United States and Canada,United States,Soft Drinks,235735.54,62600.0,30266.32,707.152,800.918,50420.199,,,,,,,,0.8125,188.83,
45,3b4ed601-8eb7-4e73-8fba-3858f825b824_2020,3b4ed601-8eb7-4e73-8fba-3858f825b824,2020,United States and Canada,United States,Biotechnology,245341.07,47000.0,40298.36,265000.0,313000.0,3731779.0,30600.0,7114.5,4060000.0,34700000.0,,29.0,,,5061.49,24007591.0
46,3b4ed601-8eb7-4e73-8fba-3858f825b824_2019,3b4ed601-8eb7-4e73-8fba-3858f825b824,2019,United States and Canada,United States,Biotechnology,245341.07,30000.0,29267.43,315000.0,308000.0,,33400.0,8015.7,4300000.0,31600000.0,2115000.0,29.0,,0.9091,2235.57,21610598.0
47,3b4ed601-8eb7-4e73-8fba-3858f825b824_2018,3b4ed601-8eb7-4e73-8fba-3858f825b824,2018,United States and Canada,United States,Biotechnology,245341.07,30000.0,28816.09,314000.0,319000.0,,,,4400000.0,35100000.0,2145000.0,28.0,,,,21283587.0
48,9694b096-1f04-4837-ba18-068ef0739fe7_2020,9694b096-1f04-4837-ba18-068ef0739fe7,2020,Asia / Pacific,China,Internet and Direct Marketing Retail,215085.8,,70748.07,,,,,,,,,,,,,
49,9694b096-1f04-4837-ba18-068ef0739fe7_2019,9694b096-1f04-4837-ba18-068ef0739fe7,2019,Asia / Pacific,China,Internet and Direct Marketing Retail,215085.8,101958.0,52306.09,,,,,,,,,,,,233.05,
50,9694b096-1f04-4837-ba18-068ef0739fe7_2018,9694b096-1f04-4837-ba18-068ef0739fe7,2018,Asia / Pacific,China,Internet and Direct Marketing Retail,215085.8,66421.0,34737.01,,,,,,,,,,,,,
51,9b6c84f0-1fd8-4793-a789-8549047cd366_2020,9b6c84f0-1fd8-4793-a789-8549047cd366,2020,Europe,Denmark,Pharmaceuticals,236776.83,45023.0,,86987.0,152511.0,1510671.0,141000.0,116000.0,3368000.0,,887098.0,,,0.5385,0.0,56500000.0
52,9b6c84f0-1fd8-4793-a789-8549047cd366_2019,9b6c84f0-1fd8-4793-a789-8549047cd366,2019,Europe,Denmark,Pharmaceuticals,236776.83,42981.0,16403.68,,,0.0,124000.0,97000.0,3149000.0,3149000.0,832054.0,,,0.4667,,54800000.0
53,9b6c84f0-1fd8-4793-a789-8549047cd366_2018,9b6c84f0-1fd8-4793-a789-8549047cd366,2018,Europe,Denmark,Pharmaceuticals,236776.83,42937.0,15033.81,,,0.0,142000.0,105000.0,3101000.0,3101000.0,,,,0.5,,41300000.0
54,0fe4534d-8cbf-42da-bb5c-4cbef0f5e7ba_2020,0fe4534d-8cbf-42da-bb5c-4cbef0f5e7ba,2020,United States and Canada,United States,Soft Drinks,223006.68,291000.0,,,,54628.801,2384410.0,2300000.0,28129000.0,82596000.0,21662301.001732983,,0.99,0.92857,66.18,
55,0fe4534d-8cbf-42da-bb5c-4cbef0f5e7ba_2019,0fe4534d-8cbf-42da-bb5c-4cbef0f5e7ba,2019,United States and Canada,United States,Soft Drinks,223006.68,267000.0,,3552.42,1556.52,,1699360.0,1600000.0,,,20952699.00167622,,,0.92308,47.65,
56,0fe4534d-8cbf-42da-bb5c-4cbef0f5e7ba_2018,0fe4534d-8cbf-42da-bb5c-4cbef0f5e7ba,2018,United States and Canada,United States,Soft Drinks,223006.68,267000.0,57056.87,3577.27,1629.97,54628.801,,,35534000.0,,,1300000.0,,,34.41,
57,0e12044b-5b8f-428f-a6ef-fe52b9018eb8_2020,0e12044b-5b8f-428f-a6ef-fe52b9018eb8,2020,United States and Canada,United States,Hypermarkets and Super Centers,207205.13,214500.0,147149.91,1326958.0,2737089.0,5476284.0,,,26519324.14,58693107.18,,,,0.8,31.77,
58,0e12044b-5b8f-428f-a6ef-fe52b9018eb8_2019,0e12044b-5b8f-428f-a6ef-fe52b9018eb8,2019,United States and Canada,United States,Hypermarkets and Super Centers,207205.13,201500.0,134745.13,,,,,,,,,,,0.7,,
59,0e12044b-5b8f-428f-a6ef-fe52b9018eb8_2018,0e12044b-5b8f-428f-a6ef-fe52b9018eb8,2018,United States and Canada,United States,Hypermarkets and Super Centers,207205.13,194000.0,124926.66,,,,,,,,,,,0.7,,
60,302e7db6-9cda-4658-b32f-719a2e48c901_2020,302e7db6-9cda-4658-b32f-719a2e48c901,2020,United States and Canada,United States,Life Sciences Tools and Services,205144.62,80000.0,28429.16,,,,,,1804573.75,5502388.45,,,,0.84615,32.65,
61,302e7db6-9cda-4658-b32f-719a2e48c901_2019,302e7db6-9cda-4658-b32f-719a2e48c901,2019,United States and Canada,United States,Life Sciences Tools and Services,205144.62,75000.0,22538.26,161.065,311.689,,,,,,,,,0.84615,199.42,
62,302e7db6-9cda-4658-b32f-719a2e48c901_2018,302e7db6-9cda-4658-b32f-719a2e48c901,2018,United States and Canada,United States,Life Sciences Tools and Services,205144.62,70000.0,21493.5,,,11034.5,,,,,,,,,,
63,b496caae-7533-40e2-b480-111b759d9501_2020,b496caae-7533-40e2-b480-111b759d9501,2020,Asia / Pacific,China,Diversified Banks,206306.1,,83498.97,,750638.0,20151199.0,,16870.6,,,1270702.7778794342,1000850.0,0.996,0.545454545,,
64,b496caae-7533-40e2-b480-111b759d9501_2019,b496caae-7533-40e2-b480-111b759d9501,2019,Asia / Pacific,China,Diversified Banks,206306.1,,83352.81,,,,,19247.0,1256170.0,,1969130.0001575304,2700000.0,1.008,0.55556,,
65,b496caae-7533-40e2-b480-111b759d9501_2018,b496caae-7533-40e2-b480-111b759d9501,2018,Asia / Pacific,China,Diversified Banks,206306.1,449296.0,85401.51,18550.0,,1710580.0,20965.0,,1302540.0,,1895580.0001516463,,1.0,,,
66,8abbfadd-a8aa-448b-b90b-7b0aac0eb06e_2020,8abbfadd-a8aa-448b-b90b-7b0aac0eb06e,2020,United States and Canada,United States,Movies and Entertainment,177128.29,182497.0,57698.37,597.067,851.029,17431.0,152048.0,,2186419.83,24716050.0,4435210.000354817,,,0.8,0.0,
67,8abbfadd-a8aa-448b-b90b-7b0aac0eb06e_2019,8abbfadd-a8aa-448b-b90b-7b0aac0eb06e,2019,United States and Canada,United States,Movies and Entertainment,177128.29,223000.0,61421.22,855.073,1010.31,,252826.0,,,,5826900.000466152,,,0.88889,,
68,8abbfadd-a8aa-448b-b90b-7b0aac0eb06e_2018,8abbfadd-a8aa-448b-b90b-7b0aac0eb06e,2018,United States and Canada,United States,Movies and Entertainment,177128.29,,52444.56,897.523,1027.81,,251205.0,,,,,,,0.90909,,
69,f0377361-9c16-445a-9523-ba1827c0ec00_2020,f0377361-9c16-445a-9523-ba1827c0ec00,2020,Asia / Pacific,Japan,Automobile Manufacturers,187164.77,359542.0,228904.56,1932.0,3780000.0,,261000.0,193000.0,44400000.0,44400000.0,,,,0.33333,,
70,f0377361-9c16-445a-9523-ba1827c0ec00_2019,f0377361-9c16-445a-9523-ba1827c0ec00,2019,Asia / Pacific,Japan,Automobile Manufacturers,187164.77,370870.0,231657.05,1967.0,,414910.0,,408000.0,,,25694400.00205555,,,0.33333,,
71,f0377361-9c16-445a-9523-ba1827c0ec00_2018,f0377361-9c16-445a-9523-ba1827c0ec00,2018,Asia / Pacific,Japan,Automobile Manufacturers,187164.77,369124.0,225171.79,,,397930.0,,417000.0,,,,,,,,
72,e6e5aae7-549a-488e-b5ad-aee4a74b8bc7_2020,e6e5aae7-549a-488e-b5ad-aee4a74b8bc7,2020,Europe,United Kingdom,Pharmaceuticals,172832.03,76100.0,23417.64,240052.0,260945.0,5985733.0,30942.0,12334.0,3810000.0,20594891.64,1699480.0,,0.884,0.8571,0.0,15934000.0
73,e6e5aae7-549a-488e-b5ad-aee4a74b8bc7_2019,e6e5aae7-549a-488e-b5ad-aee4a74b8bc7,2019,Europe,United Kingdom,Pharmaceuticals,172832.03,70600.0,21453.04,269647.0,386315.0,5716412.0,34980.0,15686.0,3890000.0,3550000.0,1848804.0,,0.873,0.83,31.67,15307000.0
74,e6e5aae7-549a-488e-b5ad-aee4a74b8bc7_2018,e6e5aae7-549a-488e-b5ad-aee4a74b8bc7,2018,Europe,United Kingdom,Pharmaceuticals,172832.03,64400.0,19434.78,272737.0,389334.0,6603075.0,31059.0,,3980000.0,,1850984.0,,0.864,0.83,,12868000.0
75,95ec145e-fdfe-40f4-948a-10910eaea67e_2020,95ec145e-fdfe-40f4-948a-10910eaea67e,2020,Europe,France,Personal Products,172184.55,85392.0,27992.1,43100.0,12700.0,11169000.0,17812.0,,2351000.0,2159315.0,,3059580.0,33.63,0.5,209.6,4368831.0
76,95ec145e-fdfe-40f4-948a-10910eaea67e_2019,95ec145e-fdfe-40f4-948a-10910eaea67e,2019,Europe,France,Personal Products,172184.55,87974.0,29873.6,50100.0,31300.0,11682000.0,19253.0,,,,940857.0,,32.89,0.54,181.4,4245998.0
77,95ec145e-fdfe-40f4-948a-10910eaea67e_2018,95ec145e-fdfe-40f4-948a-10910eaea67e,2018,Europe,France,Personal Products,172184.55,86030.0,26937.4,54800.0,36000.0,11944000.0,17774.0,,2714000.0,2302160.0,947632.0,2105950.0,,0.4667,39.2,4238732.0
78,ec77c08d-007c-4ca2-8cf3-dbebb9a553e5_2020,ec77c08d-007c-4ca2-8cf3-dbebb9a553e5,2020,United States and Canada,United States,Communications Equipment,165463.15,77500.0,43375.02,39223.0,607969.0,24867500.0,,2296.0,,3183000.0,1718000.0001374402,,,0.9,,
79,ec77c08d-007c-4ca2-8cf3-dbebb9a553e5_2019,ec77c08d-007c-4ca2-8cf3-dbebb9a553e5,2019,United States and Canada,United States,Communications Equipment,165463.15,75900.0,45665.14,41037.0,651234.0,,,6683.0,3518000.0,3409000.0,,,1.0,0.9,13.28,
80,ec77c08d-007c-4ca2-8cf3-dbebb9a553e5_2018,ec77c08d-007c-4ca2-8cf3-dbebb9a553e5,2018,United States and Canada,United States,Communications Equipment,165463.15,74200.0,43400.53,43877.0,668339.0,39520602.0,10559.0,6292.0,,3553000.0,1838000.00014704,,,0.90909,111.73,
81,94fe541a-d1da-4358-93d8-431d624a66d8_2020,94fe541a-d1da-4358-93d8-431d624a66d8,2020,United States and Canada,United States,Application Software,134249.17,22516.0,11321.27,9842.0,51176.0,438210.0,1802.0,,,260154.0,,,,0.91,0.0,45889954.0
82,94fe541a-d1da-4358-93d8-431d624a66d8_2019,94fe541a-d1da-4358-93d8-431d624a66d8,2019,United States and Canada,United States,Application Software,134249.17,22634.0,9828.25,11817.0,,542874.0,1850.0,872.0,262045.0,262045.0,221486.0,,,,,39145631.0
83,94fe541a-d1da-4358-93d8-431d624a66d8_2018,94fe541a-d1da-4358-93d8-431d624a66d8,2018,United States and Canada,United States,Application Software,134249.17,21357.0,7944.59,12119.0,58874.0,51738.0,1581.0,824.0,251136.0,251136.0,223248.0,,,,,
84,b5fc97cc-7342-4548-9aff-0992edcc934e_2020,b5fc97cc-7342-4548-9aff-0992edcc934e,2020,United States and Canada,United States,Integrated Telecommunication Services,154759.49,132200.0,112871.3,336831.0,3753660.0,15640400.0,,17829.0,,7765151.515,11436577.78,,,0.8889,,19097582.0
85,b5fc97cc-7342-4548-9aff-0992edcc934e_2019,b5fc97cc-7342-4548-9aff-0992edcc934e,2019,United States and Canada,United States,Integrated Telecommunication Services,154759.49,135000.0,116017.47,358753.0,4006874.0,,,22053.0,8896120.0,8901515.152,11801317.12,3500000.0,,0.9,3170.8,18095355.0
86,b5fc97cc-7342-4548-9aff-0992edcc934e_2018,b5fc97cc-7342-4548-9aff-0992edcc934e,2018,United States and Canada,United States,Integrated Telecommunication Services,154759.49,144500.0,115133.27,385241.0,4003579.0,98188.0,,,8706840.0,,11836000.00094688,5000000.0,,0.8332999999999999,637.86,22206086.0
87,a7b33e38-1a4e-4133-938a-d848eb9c3bcb_2020,a7b33e38-1a4e-4133-938a-d848eb9c3bcb,2020,United States and Canada,United States,Diversified Banks,158511.54,268531.0,51460.69,82.403,694.011,2467.85,,,,7729753.0,2037730.0001630185,13610700.0,0.99,0.92308,,
88,a7b33e38-1a4e-4133-938a-d848eb9c3bcb_2019,a7b33e38-1a4e-4133-938a-d848eb9c3bcb,2019,United States and Canada,United States,Diversified Banks,158511.54,259800.0,,91.993,771.327,3610.45,73312.0,47382.0,,,2238140.0001790514,11930600.0,0.99,0.92857,,
89,a7b33e38-1a4e-4133-938a-d848eb9c3bcb_2018,a7b33e38-1a4e-4133-938a-d848eb9c3bcb,2018,United States and Canada,United States,Diversified Banks,158511.54,258700.0,74735.75,95.316,833.204,2467.85,80718.0,49011.0,,,,9241100.0,0.99,,,
90,976c9bc6-dd23-4622-b08b-12f93e59e1f9_2020,976c9bc6-dd23-4622-b08b-12f93e59e1f9,2020,Asia / Pacific,China,Electrical Components and Equipment,137520.21,33078.0,7018.96,68410.0,209612.0,1506580.0,148139.0,,89065.41,,,,,,0.0,
91,976c9bc6-dd23-4622-b08b-12f93e59e1f9_2019,976c9bc6-dd23-4622-b08b-12f93e59e1f9,2019,Asia / Pacific,China,Electrical Components and Equipment,137520.21,26775.0,6386.87,,,,136745.0,,,,,,,0.33333,,
92,976c9bc6-dd23-4622-b08b-12f93e59e1f9_2018,976c9bc6-dd23-4622-b08b-12f93e59e1f9,2018,Asia / Pacific,China,Electrical Components and Equipment,137520.21,24875.0,4130.41,,,,85065.0,,,,,,,,,
93,46eda03a-18a4-403e-94c0-ceaea354b923_2020,46eda03a-18a4-403e-94c0-ceaea354b923,2020,Asia / Pacific,China,Diversified Banks,148325.88,373814.0,78056.75,18616.0,332461.0,864406.0,726.0,,4827697.08,4827697.08,551005.0000440804,,,0.46154,87.44,
94,46eda03a-18a4-403e-94c0-ceaea354b923_2019,46eda03a-18a4-403e-94c0-ceaea354b923,2019,Asia / Pacific,China,Diversified Banks,148325.88,347156.0,,17937.0,254092.0,,429.0,,,,438502.0000350802,,,0.46154,49.55,
95,46eda03a-18a4-403e-94c0-ceaea354b923_2018,46eda03a-18a4-403e-94c0-ceaea354b923,2018,Asia / Pacific,China,Diversified Banks,148325.88,345971.0,70480.33,,244029.0,,392.0,,,,,2387200.0,,0.42857,,
96,38cf6fdf-89f7-4a85-8e76-958f08b087b8_2020,38cf6fdf-89f7-4a85-8e76-958f08b087b8,2020,United States and Canada,United States,Investment Banking and Brokerage,135509.1,,42404.6,,,,,,,,,,,0.8,,
97,38cf6fdf-89f7-4a85-8e76-958f08b087b8_2019,38cf6fdf-89f7-4a85-8e76-958f08b087b8,2019,United States and Canada,United States,Investment Banking and Brokerage,135509.1,60431.0,36440.44,28300.0,,1308590.0,,,,,,,,,345.77,
